lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
51.72,-94.94,2017-09-12 02:39:00,NOAA,AVHRR,16.99,C3,2.03854,1.29224,1.29224,3.35761,790,46.35
43.61,-103.49,2017-09-12 02:39:00,NOAA,AVHRR,48.362,C3,15.3623,4.06412,5.14512,5.14417,23712,28.58
50.56,-89.54,2017-09-12 02:39:00,NOAA,AVHRR,13.924,C2,6.5497,1.62951,2.16551,2.85815,4255,46.35
50.9,-89.44,2017-09-12 02:39:00,NOAA,AVHRR,14.156,C2,6.73087,1.63455,2.17855,2.97832,4399,46.35
50.9,-89.46,2017-09-12 02:39:00,NOAA,AVHRR,14.199,C2,6.76523,1.63536,2.17936,2.99721,4423,46.35
50.56,-89.52,2017-09-12 02:39:00,NOAA,AVHRR,13.909,C2,6.52703,1.63451,2.16251,2.84615,4234,46.35
51.73,-95.01,2017-09-12 02:39:00,NOAA,AVHRR,16.898,C2,7.79436,2.10481,2.72081,3.28512,6362,46.35
51.71,-94.94,2017-09-12 02:39:00,NOAA,AVHRR,17.002,C3,2.04486,1.29129,1.29129,3.35612,792,46.35
51.71,-94.99,2017-09-12 02:39:00,NOAA,AVHRR,16.987,O1,0.985064,0.35,0.35,0.232103,103,30.21
52.72,-96.29,2017-09-12 02:39:00,NOAA,AVHRR,19.192,C2,8.60792,2.44854,3.10454,3.76139,8017,42.81
51.71,-95.03,2017-09-12 02:39:00,NOAA,AVHRR,17.044,C2,7.86693,2.12145,2.74545,3.31652,6479,46.35
51.73,-95.03,2017-09-12 02:39:00,NOAA,AVHRR,17.022,O1,0.689549,0.35,0.35,0.232495,72,30.21
49.66,-99.45,2017-09-12 02:39:00,NOAA,AVHRR,40.62,O1,2.03985,0.35,0.35,0.309084,214,17.14
50.9,-89.45,2017-09-12 02:39:00,NOAA,AVHRR,14.178,C2,6.74802,1.63521,2.17921,2.98593,4412,46.35
48.07,-113.02,2017-09-12 02:57:00,NOAA,AVHRR,41.516,C3,7.53837,4.59659,5.36709,3.66648,12138,28.58
47.28,-113.23,2017-09-12 02:57:00,NOAA,AVHRR,37.402,C3,6.13095,4.11842,4.69342,3.94993,8633,28.58
45.44,-115.09,2017-09-12 02:57:00,NOAA,AVHRR,34.536,C3,4.1643,4.35077,4.63827,4.99624,5795,28.58
44.77,-121.96,2017-09-12 02:57:00,NOAA,AVHRR,40.739,C3,6.62545,4.87961,5.56961,6.5182,11070,28.58
44.77,-121.95,2017-09-12 02:57:00,NOAA,AVHRR,40.756,C3,6.64592,4.86632,5.55632,6.43139,11078,28.58
44.76,-121.94,2017-09-12 02:57:00,NOAA,AVHRR,40.703,C3,6.67657,4.8061,5.4961,6.18468,11009,28.58
47.9,-115.35,2017-09-12 02:57:00,NOAA,AVHRR,37.819,C3,5.09351,4.80486,5.29936,5.52218,8098,28.58
50.36,-115.29,2017-09-12 02:57:00,NOAA,AVHRR,34.314,D1,0.47547,1.40221,1.40221,4.52139,200,9.94
50.16,-115.12,2017-09-12 02:57:00,NOAA,AVHRR,32.614,C3,3.16969,4.51179,4.60379,5.08546,4378,11.67
50.16,-115.16,2017-09-12 02:57:00,NOAA,AVHRR,32.938,C2,12.4302,4.17293,4.91693,4.7092,18335,11.67
50.14,-115.19,2017-09-12 02:57:00,NOAA,AVHRR,33.957,C2,13.3084,4.14524,4.89724,4.66648,19552,11.67
50.15,-115.15,2017-09-12 02:57:00,NOAA,AVHRR,29.073,C2,11.6613,3.62859,4.36459,4.19246,15269,11.67
50.32,-115.21,2017-09-12 02:57:00,NOAA,AVHRR,35.002,C3,4.08918,4.54297,4.84197,5.10627,5940,11.67
50.3,-115.21,2017-09-12 02:57:00,NOAA,AVHRR,34.994,C3,4.2049,4.45782,4.76832,4.9768,6015,11.67
50.36,-115.32,2017-09-12 02:57:00,NOAA,AVHRR,37.047,C2,14.7648,4.47046,5.23846,5.12165,23203,11.67
47.46,-120.91,2017-09-12 02:57:00,NOAA,AVHRR,30.636,O1,7.97704,0.35,0.35,0.40526,838,30.21
48.28,-113.12,2017-09-12 02:57:00,NOAA,AVHRR,39.904,O1,14.9347,0.35,0.35,0.260781,1568,30.21
49.18,-114.08,2017-09-12 02:57:00,NOAA,AVHRR,17.587,O1,1.67661,0.35,0.35,0.257601,176,32.43
49.17,-114.08,2017-09-12 02:57:00,NOAA,AVHRR,15.273,O1,2.08678,0.35,0.35,0.221171,219,32.43
50.31,-115.21,2017-09-12 02:57:00,NOAA,AVHRR,35.122,C3,4.1534,4.53433,4.84483,5.09554,6037,11.67
48.06,-113.02,2017-09-12 02:57:00,NOAA,AVHRR,40.459,C3,6.84362,4.60786,5.30936,3.66356,10901,28.58
48.08,-113.14,2017-09-12 02:57:00,NOAA,AVHRR,40.994,C3,6.93872,4.74326,5.45626,4.35446,11358,28.58
48.12,-113.1,2017-09-12 02:57:00,NOAA,AVHRR,40.978,C3,7.00036,4.69848,5.42298,4.11719,11389,28.58
48.97,-114.73,2017-09-12 02:57:00,NOAA,AVHRR,34.389,C3,3.6082,4.7524,4.9709,5.22232,5381,28.58
50.11,-115.18,2017-09-12 02:57:00,NOAA,AVHRR,31.189,D1,0.443784,1.33979,1.33979,4.28161,178,9.94
47.29,-113.23,2017-09-12 02:57:00,NOAA,AVHRR,38.718,O1,14.607,0.35,0.35,0.300648,1534,30.21
46.41,-114.57,2017-09-12 02:57:00,NOAA,AVHRR,34.284,C3,4.15534,4.28661,4.56261,5.05542,5688,28.58
47.27,-113.23,2017-09-12 02:57:00,NOAA,AVHRR,36.986,C3,6.10104,4.03521,4.59871,3.87657,8417,28.58
50.3,-115.11,2017-09-12 02:57:00,NOAA,AVHRR,28.65,low_veg,0.660302,0.1,0.1,4.28823,20,11.49
43.06,-122.44,2017-09-12 02:57:00,NOAA,AVHRR,2.747,C3,2.26252e-06,0,0,0,0,28.58
42.76,-122.23,2017-09-12 02:57:00,NOAA,AVHRR,2.466,C3,1.8536e-06,0,0,0,0,28.58
42.76,-122.21,2017-09-12 02:57:00,NOAA,AVHRR,2.469,C3,1.85668e-06,0,0,0,0,28.58
45.45,-115.09,2017-09-12 02:57:00,NOAA,AVHRR,34.102,C3,4.14275,4.24541,4.50991,4.90451,5605,28.58
47.27,-113.19,2017-09-12 02:57:00,NOAA,AVHRR,39.806,C3,6.42442,4.62176,5.27726,4.67807,10171,28.58
49.19,-114.16,2017-09-12 02:57:00,NOAA,AVHRR,15.933,C2,3.07384,4.06964,4.40564,3.92726,4063,36.84
49.2,-114.16,2017-09-12 02:57:00,NOAA,AVHRR,16.429,C4,2.93913,4.45308,4.88508,4.38942,4307,36.84
50.13,-115.19,2017-09-12 02:57:00,NOAA,AVHRR,31.854,C2,12.9878,3.82134,4.57334,4.33212,17819,11.67
50.11,-115.22,2017-09-12 02:57:00,NOAA,AVHRR,31.715,non_fuel,0,0,0,0,0,11.49
49.18,-114.16,2017-09-12 02:57:00,NOAA,AVHRR,15.431,C2,3.17155,3.81581,4.15981,3.65643,3958,36.84
49.17,-114.12,2017-09-12 02:57:00,NOAA,AVHRR,18.089,C2,3.75602,4.21071,4.61871,4.1011,5204,36.84
50.3,-115.14,2017-09-12 02:57:00,NOAA,AVHRR,28.927,D1,0.380562,1.3362,1.3362,4.17032,153,9.94
